username,latitude,longitude
af08296dad9dffba5d2dd82e8ccb5a508492a948,17.375305,78.474396
abb21a2300f1807bb35a3c41dc37150737c162be,40.8006,-73.9653
07e071e500207b4e011b2f69299cc3d84e25a4bc,50.449997,30.5233
98ee89cc09d53482620d4a83727ee630334e0578,40.468094,-79.9114
36ba9c465a2e62a7e05c6abce6743175b05af0ee,32.998795,-96.7831
f011e05145975db6dccfea7755986f85f2fd28b7,28.666702,77.216705
829da523f85373864cfebf8c140f5f9d66e23995,45.050003,7.6667023
cbb4f9a6e12b5b899943031b91d7f3ad0b670ed0,48.634796,2.3083038
fc3efa18d6b2986fce660dc434f3cbca62de97c6,43.2854,5.3760986
03833850ec2f87647d38e22e43ee5a412bc65521,25.558395,-80.4582
55bc1bbfa3a88f73e265c402f7ff6cdba3284a36,52.233307,21.016693
1c3c4dc1dc60e6552d9467d85d038c3e3b092c6e,29.651596,-82.3248
2a29cb17a71cbd844586e8eb6eddaab0ef89c4e7,48.766693,2.4167023
15e2c93236346a77be06b0d2050d87a69835443d,-23.516693,-46.833298
f767a389f607f7709cb1597d55762ad40d11d2c2,35.995407,-78.9019
648cba537cc88a7cab35f3924ae7c889cdf94ce7,-31.952194,115.86139
398533bda394015839f60c402ecd8f7693cdf807,43.600006,-79.65
3aa7127098a88649f46e5d67233d91d1668e6af5,44.493805,11.338699
6ff98c0a1c25139941aa0803c839db520dda9ab8,51.5,-0.13000488
7e31d3f69e8d075b5bb864aa33134b557225b1f7,46.8488,-92.2032
7bd2de870b76777b731e481e94ba77653960b255,53.3331,-6.2489014
5c70c32f685d90c377e931eb8a86c7e5d6d00a1b,40.424896,-86.9162
6279c9c5201d1820bde0d5ca102a6b1fa8cf8154,22.333298,87.33331
4d2c2cf1850cb913c783d201205e063bf65568fa,41.972794,-87.6616
3d9b12970cd215b9b0d3884c48d17bf17e7dd6f4,35.690002,139.69
a78f13d0d8c4e2cd4a4826edb602f2392bff0779,42.3584,-71.0598
7780194dbdd9b30bbd60acef0c6591329052834d,49.276505,-123.2177
7600724710b176968cfe14cd643487f9988ac142,-0.21670532,-78.5
a0931238b056c4f9b5e9f8543f1f75c7c99a3cb3,40.2267,-78.7794
5447b4234b15d9196e76e00f6253e8c723e852f0,27.716705,85.31671
25c1c7fcdf5e1f279049e1c379497fb1675fb93f,-23.473297,-46.665802
3fd31ef37054c8af844fdd424b8a5a3db12719ca,12.983307,77.58331
2f8b74efcb98f467bfef103f1d616f7b8d4058b8,53.109406,8.781403
76ba3e3b17882021fde31d9a4f5339c1b555dcd0,30.293594,120.16141
3ce12722d9ce385ecd984582ee4291ebb584a42d,45.5,-73.5833
86fc3090c6c713fa74c9b4f7f3c24e7c9e7085bc,38.0,-97.0
7ee9b9150aaa3aedb1f5105f6cc07a3fb4f382e4,29.834,-95.4342
5f097383ad9c38d8479947cdbf0eada6d7dac9a4,40.800003,-96.667
