username,numLecture,numQuiz,numForum,numActions,numSession,numIP,weekcount,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18
03e5d46a254d4f418b0f6122859dca67f266321e,43,9,37,12380,51,5,8,0,0,0,1740,4565,4984,41,338,341,0,340,31,0,0,0,0,0,0
cc1dfc323cce91713f9b7d49e10f6671d2ab5799,45,9,62,12350,12,14,9,0,0,0,0,0,2,2124,2863,2655,2853,538,1249,64,2,0,0,0,0
f7121190e42312a5dd3a0093a21731cd2ac4b33b,30,4,22,12341,6,34,10,0,0,0,15,85,250,11301,581,9,7,77,11,5,0,0,0,0,0
4ef2302790c6e80eb19d20f7b0a68b1a5f48c118,45,8,76,12291,10,4,9,0,0,0,602,2355,5399,1529,1510,361,12,421,102,0,0,0,0,0,0
019fa0418c04f619f02ef9c7564b47b81efbf1a3,8,0,0,11808,7,2,2,0,0,0,21,0,11787,0,0,0,0,0,0,0,0,0,0,0,0
41a5bcc10e00d7e16d95025ba36f6fa27086a18b,52,9,54,11012,52,2,9,0,0,0,23,946,5257,1725,33,1117,1409,455,47,0,0,0,0,0,0
c0d871576ec6d42f1758e06f4ddd51fd7b41efe1,52,8,11,11011,3,5,9,0,0,0,0,5546,3174,1,466,4,465,3,1348,4,0,0,0,0,0
2fe01d60d4043cf713cf5544bf3f8b482275ac0a,52,9,46,10891,7,6,10,0,0,0,54,203,87,7393,1087,1768,1,193,104,0,0,1,0,0,0
0d792825f686e5af6049ca7e392fed8b15bb0385,52,9,81,10781,16,5,10,0,0,0,602,1217,4380,49,818,2358,24,1127,204,0,2,0,0,0,0
5b4600ad7f4c6e8a88a6939fa9818b1bb56a37e2,52,9,87,10305,11,19,11,0,0,0,231,1444,2624,1001,2685,410,246,110,612,938,4,0,0,0,0
fd655bed16f681ae96da1308494fddb17fe87abc,21,3,16,9975,50,7,9,0,0,0,199,92,445,3516,2957,2761,1,0,0,0,3,0,1,0,0
a6cd5fc66fee978936b7c694aabe8048d97c82d5,39,9,178,9544,74,21,12,0,0,0,282,3515,35,1721,560,215,2109,945,113,25,19,0,5,0,0
a1935743cbd7fe0798a7757949880e6f8ec5d671,49,1,255,8407,305,3,9,0,0,0,597,1171,1325,651,1507,1065,1464,407,220,0,0,0,0,0,0
702a15f6ad9a3f58c8e3654c821dc6a2b2461f9d,34,5,26,7657,13,10,7,0,0,0,77,185,36,6857,133,204,165,0,0,0,0,0,0,0,0
70f3f5ff7a70c91e73934c1bd5e2936ae5b8f7dc,52,9,32,7508,176,8,11,0,0,0,570,2572,648,1312,569,62,161,1471,139,3,0,1,0,0,0
6e09a88810e4aa49eae17a9216a08f03d774c19f,52,10,21,7464,5,19,13,0,0,0,53,1666,132,994,1099,1151,946,461,673,227,51,5,0,6,0
0ae00e94b51b630d68cceeae44183138f85b3b76,50,8,43,7179,2,4,10,0,0,0,21,1988,3485,64,395,327,277,523,84,0,0,15,0,0,0
a13ce1dee7f8c49729b9fe7a20e17b97cdbbba65,52,9,74,7099,44,8,10,0,0,0,118,140,1807,322,2486,135,1077,422,580,12,0,0,0,0,0
eadc9434b4b687ad15f073c8f6ec051ef1e8d837,52,8,5,7001,8,21,11,0,0,0,11,305,2826,72,3518,42,42,61,111,12,0,0,1,0,0
cef2ad6d1645b150971b7786e621349c8089d022,50,9,86,6934,10,3,7,0,0,0,0,3451,0,988,1445,31,507,491,21,0,0,0,0,0,0
b196eef5bb2cc311ac01581ea0d2df4295b1e234,50,9,198,6916,10,5,11,0,0,0,55,19,1123,2719,792,172,579,740,473,239,5,0,0,0,0
886e61f8890a7d3018fa14ea665c63d4659aa159,52,9,30,6755,12,7,11,0,0,0,0,1605,696,867,244,888,1466,272,275,439,1,0,2,0,0
2f315f1c7b5a647e1ed1c14579cf6e4868d67b12,52,9,172,6717,130,12,10,0,0,0,7,4698,948,133,185,56,433,128,102,27,0,0,0,0,0
3657cda64b82ea3660eb945bf04014c97ff81c14,52,9,214,6291,230,2,12,0,0,0,1132,836,1051,868,764,543,294,395,258,128,17,5,0,0,0
1eab03175dec76539d579d099dcbd64e7663728c,56,9,52,6247,1,16,10,0,0,0,64,251,422,33,4916,263,33,196,19,50,0,0,0,0,0
5ff5dc6c58b987f25f6b448a0eb4dea6daf6da44,52,9,45,6038,10,6,12,0,0,0,6,490,697,293,1606,453,1037,1285,139,28,1,0,3,0,0
5f0408a264c4694f1e472a7fd5472ccff36c7a83,52,9,91,5885,20,55,10,0,0,0,45,16,6,2372,1429,1409,80,381,78,69,0,0,0,0,0
5d629ea334d6c300a7d7f93feb954deafb1cf6c6,52,9,106,5654,1,1,9,0,0,0,0,0,861,2140,1044,587,418,297,264,37,0,6,0,0,0
28e528cbce0b1fb397c0113f40ffd8eba7c09c1f,50,9,74,5528,24,5,11,0,0,0,41,96,1610,57,1478,1993,5,111,134,2,0,1,0,0,0
47c1507c5dac7b076e864d95cea0b5632bd2e776,50,9,112,5436,3,17,9,0,0,0,0,302,461,625,343,957,1067,768,385,528,0,0,0,0,0
bdd4c8830d1577281ddc7e8b410e09b9465f6186,52,10,867,5393,432,52,11,0,0,0,703,809,935,629,613,481,452,482,254,33,0,2,0,0,0
e2f7a477c2f8d3314cc5e530d14772cb5c307ddc,52,8,23,5309,107,45,10,0,0,0,438,497,159,878,223,1255,1319,187,352,1,0,0,0,0,0
469df90662e2696670050f81c125b9c7f02a1334,53,9,359,5285,87,89,15,0,0,0,212,1862,583,323,435,439,560,312,421,86,21,1,20,5,5
8a9dc7b5f176e315924efbf72103051524fd1821,52,9,63,5165,49,10,10,0,0,0,0,644,883,660,894,1217,417,434,6,7,0,0,0,3,0
ec93311e6e40ba8e17c29d62bf947213d3db3205,41,3,1,4823,2,5,10,0,0,0,0,12,713,5,2,3,3,3987,6,1,0,0,0,91,0
6341caa3c9c7368607bf70dcefcaebe3216e98e6,52,9,64,4569,38,2,10,0,0,0,0,0,857,1749,738,361,497,334,15,16,0,0,0,1,1
1bbfdde3e7f708ae99167f343627997bd8cb8a86,52,9,169,4547,9,4,12,0,0,0,0,70,1847,397,200,696,714,353,208,34,11,14,3,0,0
5d8b68f7d302e1aacf740b27222db99909050b02,52,9,73,4539,10,3,9,0,0,0,0,31,1541,333,34,1139,691,141,428,201,0,0,0,0,0
a881a9e36b82c3a2518c63e021c9b6bba8656b4c,49,9,25,4508,23,3,10,0,0,0,20,54,624,2066,114,213,232,818,285,82,0,0,0,0,0
e84a3504dbe0b186b144b6cd0c8fcb4458fd3070,49,9,127,4488,47,2,10,0,0,0,609,383,1398,754,411,366,270,127,166,0,4,0,0,0,0
183127dc168aa10c74e55bf6989704f4a3805cd1,14,2,3,4381,19,4,2,0,0,0,24,4357,0,0,0,0,0,0,0,0,0,0,0,0,0
14c7947f862caa5f29d158b366d5e24fc5203754,12,3,44,4337,223,3,3,0,0,0,1340,2128,869,0,0,0,0,0,0,0,0,0,0,0,0
918d54b424b875d08122e1830695bcf33a505c41,24,2,1,4305,4,18,9,0,0,0,0,0,0,3,0,0,303,0,116,62,823,1387,1324,279,8
84d993e7ad4b375e03c0f4bfcb7aba4ccdc3578a,51,9,140,4285,47,10,11,0,0,0,61,360,350,2001,588,540,101,160,32,91,1,0,0,0,0
49c41c52249aa63d351ea46fff08cdc9763b0825,14,2,10,4243,10,2,4,0,0,0,9,1727,2494,13,0,0,0,0,0,0,0,0,0,0,0
4d2c2cf1850cb913c783d201205e063bf65568fa,50,9,237,4130,218,1,12,0,0,0,654,328,734,483,229,584,388,241,417,62,7,3,0,0,0
9d798e038b9e95f42021c0a5acd7140b45724b89,40,0,0,4105,13,4,3,0,0,0,68,0,0,0,0,0,0,1989,0,0,2048,0,0,0,0
e886b18d95264df5e3bc30cbe37d7b5736163f9f,52,8,35,4026,5,5,10,0,0,0,0,477,422,994,303,310,819,347,27,322,5,0,0,0,0
2702044af79f9aa3513d0fd29ea168c817630892,45,10,154,4006,2,2,10,0,0,0,442,763,119,459,531,760,24,486,378,44,0,0,0,0,0
410a3f24617e34e85b6a1dbe3b5f639511c3ceb3,52,9,131,3987,42,3,12,0,0,0,8,393,202,1163,138,382,1092,246,300,9,0,45,0,9,0
869e4722f9e13a7d2f12549bc2162fae08d835ef,47,8,159,3980,135,27,11,0,0,0,263,639,881,464,424,738,35,480,17,36,0,3,0,0,0
98bedb4494f17d50b06bf64a146b5a5211b07de6,52,8,9,3939,23,5,10,0,0,0,0,635,129,530,686,893,307,260,394,102,3,0,0,0,0
