id,x,y,label
54,851,425,5
52,747,893,5
50,559,41,4
48,431,207,4
46,457,42,4
44,68,42,4
33,242,531,3
41,648,761,3
39,835,463,3
37,492,227,3
35,98,340,3
32,259,325,3
30,98,188,3
28,278,296,2
26,833,668,2
24,792,788,2
22,276,803,2
20,582,681,2
18,489,362,2
16,66,275,2
14,642,101,1
12,702,662,1
10,833,805,1
8,290,998,1
6,401,677,1
4,400,510,1
2,216,553,1
