R,G,B,CL
199,199,176,2
200,198,176,2
193,195,178,2
190,191,176,2
188,187,174,2
185,184,171,2
182,182,168,2
187,189,173,2
190,191,176,2
193,193,179,2
188,188,174,2
182,184,168,2
181,183,168,2
179,180,166,2
177,177,163,2
180,181,166,2
183,185,169,2
177,180,165,2
176,178,164,2
175,176,162,2
176,178,163,2
178,180,164,2
173,176,162,2
173,176,162,2
173,175,161,2
172,176,160,2
172,176,159,2
192,191,179,2
192,190,178,2
191,190,178,2
192,190,178,2
192,190,178,2
193,193,179,2
190,190,176,2
186,186,172,2
190,190,176,2
194,194,180,2
194,194,180,2
191,192,177,2
188,190,174,2
190,192,176,2
193,195,179,2
194,196,180,2
192,195,178,2
191,194,177,2
192,195,178,2
192,196,178,2
192,194,177,2
193,196,178,2
194,197,180,2
194,196,180,2
193,196,179,2
205,208,186,2
198,201,181,2
196,198,180,2
193,195,179,2
194,196,181,2
204,208,184,2
204,208,186,2
202,206,186,2
201,204,186,2
200,202,186,2
214,218,193,2
210,214,190,2
210,213,191,2
209,212,192,2
206,208,190,2
212,216,192,2
213,217,194,2
212,215,193,2
210,213,192,2
207,210,190,2
210,214,192,2
216,220,198,2
213,217,195,2
210,214,192,2
208,212,192,2
188,190,173,2
190,192,176,2
192,193,178,2
192,192,178,2
191,191,178,2
185,186,169,2
188,189,172,2
192,192,176,2
193,193,178,2
194,194,180,2
188,188,172,2
189,189,173,2
190,190,174,2
190,190,174,2
190,189,174,2
192,191,175,2
190,190,174,2
188,188,172,2
186,186,170,2
185,184,169,2
188,186,169,2
187,186,169,2
186,186,169,2
186,186,170,2
186,186,170,2
146,141,133,1
143,139,133,1
140,136,132,1
138,134,132,1
123,121,119,1
146,140,134,1
145,139,135,1
141,135,133,1
137,131,131,1
126,122,120,1
145,139,135,1
146,139,138,1
142,134,134,1
137,129,131,1
129,122,121,1
146,142,134,1
142,137,131,1
139,134,128,1
136,130,126,1
134,129,123,1
146,144,133,1
137,134,123,1
136,132,122,1
135,131,121,1
140,137,126,1
168,164,154,1
168,162,154,1
166,160,149,1
163,159,144,1
164,162,143,1
170,166,158,1
167,160,154,1
164,158,148,1
161,156,143,1
160,157,140,1
170,166,162,1
166,157,155,1
162,155,148,1
159,153,142,1
156,152,136,1
166,164,162,1
162,156,157,1
155,150,146,1
148,144,134,1
153,150,135,1
162,162,162,1
156,155,158,1
158,157,154,1
161,159,151,1
162,160,146,1
146,132,123,1
149,134,124,1
148,132,122,1
147,131,120,1
134,122,113,1
149,135,126,1
155,141,131,1
148,134,123,1
140,126,115,1
129,118,110,1
148,135,124,1
155,142,131,1
148,136,125,1
142,129,119,1
128,118,111,1
148,134,122,1
155,142,131,1
150,137,127,1
144,132,123,1
128,118,112,1
150,133,122,1
152,136,126,1
148,134,124,1
145,131,122,1
130,119,113,1
180,178,160,1
168,166,151,1
157,155,142,1
140,138,128,1
146,146,137,1
178,176,158,1
173,171,155,1
168,166,152,1
153,152,139,1
150,149,138,1
175,175,157,1
176,176,160,1
177,176,162,1
164,164,150,1
152,151,139,1
173,174,156,1
174,174,158,1
176,174,160,1
174,172,158,1
171,169,157,1
171,172,155,1
172,172,156,1
174,173,158,1
171,170,155,1
168,166,152,1
165,153,146,1
182,171,163,1
196,186,177,1
163,153,143,1
125,115,107,1
158,146,138,1
157,145,137,1
166,154,145,1
150,139,129,1
123,113,103,1
154,140,132,1
152,138,130,1
166,154,146,1
169,158,149,1
140,129,120,1
150,135,127,1
147,133,125,1
157,144,136,1
167,155,147,1
146,134,128,1
154,136,128,1
148,132,124,1
150,136,128,1
152,140,133,1
135,123,118,1
93,102,102,1
90,100,99,1
88,97,96,1
86,96,95,1
85,96,94,1
96,103,104,1
91,98,99,1
86,94,94,1
86,94,94,1
85,95,95,1
106,112,113,1
100,107,108,1
94,102,102,1
91,100,100,1
88,98,99,1
116,122,122,1
109,116,116,1
102,110,110,1
97,106,106,1
92,101,103,1
119,125,124,1
114,121,120,1
110,117,117,1
106,114,115,1
102,111,113,1
156,166,162,1
147,157,153,1
146,155,152,1
145,153,150,1
150,158,157,1
155,166,161,1
148,158,154,1
144,152,149,1
139,147,144,1
148,156,155,1
154,165,160,1
149,159,155,1
142,150,146,1
134,142,138,1
147,155,153,1
158,169,165,1
152,162,158,1
145,154,150,1
138,146,142,1
143,151,148,1
162,173,169,1
155,164,160,1
150,158,154,1
144,151,147,1
140,147,144,1
148,146,136,1
147,145,134,1
146,144,132,1
144,142,130,1
147,144,132,1
152,152,142,1
145,145,134,1
144,144,133,1
144,144,132,1
148,147,135,1
164,161,149,1
159,156,144,1
156,153,140,1
152,150,136,1
151,148,134,1
174,170,156,1
173,168,154,1
166,162,146,1
159,155,139,1
154,149,133,1
172,166,150,1
170,164,147,1
168,162,144,1
166,160,142,1
162,156,138,1
