Date,value
2009-12-28,140
2009-12-29,176
2009-12-30,136
2009-12-31,132
2010-01-01,125
2010-01-02,136
2010-01-03,207
2010-01-04,186
2010-01-05,181
2010-01-06,153
2010-01-07,156
2010-01-08,164
2010-01-09,152
2010-01-10,180
2010-01-11,162
2010-01-12,174
2010-01-13,155
2010-01-14,140
2010-01-15,148
2010-01-16,118
2010-01-17,135
2010-01-18,123
2010-01-19,121
2010-01-20,170
2010-01-21,187
2010-01-22,143
2010-01-23,157
2010-01-24,166
2010-01-25,218
2010-01-26,196
2010-01-27,160
2010-01-28,196
2010-01-29,190
2010-01-30,225
2010-01-31,175
2010-02-01,160
2010-02-02,178
2010-02-03,273
2010-02-04,237
2010-02-05,234
2010-02-06,182
2010-02-07,238
2010-02-08,214
2010-02-09,202
2010-02-10,159
2010-02-11,188
2010-02-12,207
2010-02-13,225
2010-02-14,209
2010-02-15,188
2010-02-16,220
2010-02-17,250
2010-02-18,208
2010-02-19,200
2010-02-20,235
2010-02-21,223
2010-02-22,247
2010-02-23,249
2010-02-24,160
2010-02-25,175
2010-02-26,167
2010-02-27,177
2010-02-28,170
2010-03-01,202
2010-03-02,175
2010-03-03,168
2010-03-04,186
2010-03-05,178
2010-03-06,169
2010-03-07,178
2010-03-08,155
2010-03-09,136
2010-03-10,163
2010-03-11,140
2010-03-12,136
2010-03-13,140
2010-03-14,123
2010-03-15,142
2010-03-16,129
2010-03-17,142
2010-03-18,149
2010-03-19,170
2010-03-20,214
2010-03-21,185
2010-03-22,197
2010-03-23,210
2010-03-24,191
2010-03-25,201
2010-03-26,212
2010-03-27,189
2010-03-28,188
2010-03-29,210
2010-03-30,230
2010-03-31,204
2010-04-01,165
2010-04-02,182
2010-04-03,156
2010-04-04,190
2010-04-05,190
2010-04-06,187
2010-04-07,205
2010-04-08,206
2010-04-09,270
2010-04-10,273
2010-04-11,296
2010-04-12,228
2010-04-13,213
2010-04-14,311
2010-04-15,253
2010-04-16,253
2010-04-17,279
2010-04-18,6400
2010-04-19,272
2010-04-20,266
2010-04-21,239
2010-04-22,192
2010-04-23,235
2010-04-24,213
2010-04-25,225
2010-04-26,229
2010-04-27,247
2010-04-28,231
2010-04-29,173
2010-04-30,190
2010-05-01,203
2010-05-02,197
2010-05-03,168
2010-05-04,199
2010-05-05,149
2010-05-06,183
2010-05-07,158
2010-05-08,205
2010-05-09,176
2010-05-10,149
2010-05-11,141
2010-05-12,159
2010-05-13,167
2010-05-14,157
2010-05-15,111
2010-05-16,148
2010-05-17,191
2010-05-18,233
2010-05-19,220
2010-05-20,240
2010-05-21,231
2010-05-22,308
2010-05-23,262
2010-05-24,249
2010-05-25,279
2010-05-26,286
2010-05-27,270
2010-05-28,283
2010-05-29,252
2010-05-30,201
2010-05-31,173
2010-06-01,190
2010-06-02,199
2010-06-03,257
2010-06-04,184
2010-06-05,200
2010-06-06,192
2010-06-07,230
2010-06-08,215
2010-06-09,226
2010-06-10,228
2010-06-11,269
2010-06-12,234
2010-06-13,268
2010-06-14,290
2010-06-15,281
2010-06-16,201
2010-06-17,212
2010-06-18,202
2010-06-19,223
2010-06-20,246
2010-06-21,271
2010-06-22,248
2010-06-23,278
2010-06-24,268
2010-06-25,206
2010-06-26,213
2010-06-27,243
2010-06-28,266
2010-06-29,282
2010-06-30,330
2010-07-01,280
2010-07-02,286
2010-07-03,269
2010-07-04,232
2010-07-05,265
2010-07-06,204
2010-07-07,254
2010-07-08,257
2010-07-09,263
2010-07-10,255
2010-07-11,1294
2010-07-12,3362
2010-07-13,1890
2010-07-14,11324
2010-07-15,1797
2010-07-16,1386
2010-07-17,608
2010-07-18,605
2010-07-19,663
2010-07-20,933
2010-07-21,612
2010-07-22,490
2010-07-23,490
2010-07-24,1324
2010-07-25,3321
2010-07-26,597
2010-07-27,603
2010-07-28,3541
2010-07-29,459
2010-07-30,395
2010-07-31,359
2010-08-01,435
2010-08-02,500
2010-08-03,952
2010-08-04,588
2010-08-05,805
2010-08-06,410
2010-08-07,329
2010-08-08,516
2010-08-09,543
2010-08-10,395
2010-08-11,494
2010-08-12,794
2010-08-13,443
2010-08-14,504
2010-08-15,375
2010-08-16,550
2010-08-17,424
2010-08-18,525
2010-08-19,418
2010-08-20,510
2010-08-21,466
2010-08-22,417
2010-08-23,441
2010-08-24,476
2010-08-25,432
2010-08-26,417
2010-08-27,389
2010-08-28,392
2010-08-29,329
2010-08-30,522
2010-08-31,467
2010-09-01,542
2010-09-02,404
2010-09-03,349
2010-09-04,354
2010-09-05,364
2010-09-06,335
2010-09-07,334
2010-09-08,453
2010-09-09,532
2010-09-10,357
2010-09-11,373
2010-09-12,532
2010-09-13,593
2010-09-14,594
2010-09-15,524
2010-09-16,485
2010-09-17,459
2010-09-18,437
2010-09-19,468
2010-09-20,743
2010-09-21,1220
2010-09-22,943
2010-09-23,692
2010-09-24,616
2010-09-25,710
2010-09-26,667
2010-09-27,596
2010-09-28,1087
2010-09-29,1218
2010-09-30,915
2010-10-01,603
2010-10-02,644
2010-10-03,540
2010-10-04,605
2010-10-05,495
2010-10-06,561
2010-10-07,443
2010-10-08,487
2010-10-09,550
2010-10-10,489
2010-10-11,434
2010-10-12,484
2010-10-13,512
2010-10-14,456
2010-10-15,446
2010-10-16,564
2010-10-17,583
2010-10-18,1014
2010-10-19,1359
2010-10-20,894
2010-10-21,741
2010-10-22,854
2010-10-23,697
2010-10-24,754
2010-10-25,616
2010-10-26,733
2010-10-27,751
2010-10-28,736
2010-10-29,550
2010-10-30,504
2010-10-31,384
2010-11-01,435
2010-11-02,356
2010-11-03,420
2010-11-04,432
2010-11-05,557
2010-11-06,509
2010-11-07,551
2010-11-08,616
2010-11-09,484
2010-11-10,521
2010-11-11,443
2010-11-12,340
2010-11-13,442
2010-11-14,445
2010-11-15,14419
2010-11-16,6067
2010-11-17,562
2010-11-18,2948
2010-11-19,11847
2010-11-20,12181
2010-11-21,4637
2010-11-22,471
2010-11-23,497
2010-11-24,5549
2010-11-25,3922
2010-11-26,1693
2010-11-27,587
2010-11-28,695
2010-11-29,587
2010-11-30,644
2010-12-01,711
2010-12-02,643
2010-12-03,566
2010-12-04,520
2010-12-05,558
2010-12-06,633
2010-12-07,809
2010-12-08,735
2010-12-09,595
2010-12-10,642
2010-12-11,858
2010-12-12,1128
2010-12-13,985
2010-12-14,959
2010-12-15,909
2010-12-16,745
2010-12-17,654
2010-12-18,781
2010-12-19,778
2010-12-20,1586
2010-12-21,1010
2010-12-22,1065
2010-12-23,900
2010-12-24,775
2010-12-25,1053
2010-12-26,887
2010-12-27,939
2010-12-28,981
2010-12-29,858
2010-12-30,884
2010-12-31,862
